timestamp,source_ip,destination_ip,protocol,packet_size,response_time_ms,status
2025-01-01 10:00:03,192.168.1.170,1.1.1.1,HTTPS,915,1084,DELAY
2025-01-01 10:00:05,192.168.1.159,1.1.1.1,HTTP,526,62,OK
2025-01-01 10:00:07,192.168.1.72,1.1.1.1,HTTPS,823,169,OK
2025-01-01 10:00:09,192.168.1.125,8.8.8.8,HTTPS,312,86,OK
2025-01-01 10:00:11,192.168.1.119,1.1.1.1,HTTP,1160,200,OK
2025-01-01 10:00:14,192.168.1.20,8.8.8.8,HTTPS,1241,125,OK
2025-01-01 10:00:16,192.168.1.112,8.8.8.8,HTTP,1263,109,OK
2025-01-01 10:00:19,192.168.1.44,1.1.1.1,HTTPS,213,195,OK
2025-01-01 10:00:22,192.168.1.210,1.1.1.1,HTTPS,343,133,OK
2025-01-01 10:00:23,192.168.1.115,8.8.4.4,HTTPS,849,189,OK
2025-01-01 10:00:26,192.168.1.47,8.8.8.8,HTTPS,872,155,OK
2025-01-01 10:00:27,192.168.1.147,8.8.4.4,HTTP,1327,215,OK
2025-01-01 10:00:28,192.168.1.100,8.8.8.8,HTTPS,411,73,OK
2025-01-01 10:00:29,192.168.1.168,8.8.8.8,HTTPS,4841,2101,FAIL
2025-01-01 10:00:31,192.168.1.38,8.8.8.8,HTTP,7107,2140,FAIL
2025-01-01 10:00:34,192.168.1.164,1.1.1.1,HTTPS,196,147,OK
2025-01-01 10:00:37,192.168.1.62,8.8.8.8,HTTPS,4173,2314,FAIL
2025-01-01 10:00:38,192.168.1.77,8.8.8.8,HTTP,432,209,OK
2025-01-01 10:00:39,192.168.1.254,8.8.8.8,HTTP,738,91,OK
2025-01-01 10:00:40,192.168.1.132,8.8.8.8,HTTP,117,54,OK
2025-01-01 10:00:42,192.168.1.215,1.1.1.1,HTTPS,683,170,OK
2025-01-01 10:00:43,192.168.1.238,8.8.8.8,HTTP,671,269,OK
2025-01-01 10:00:44,192.168.1.26,1.1.1.1,HTTP,1119,165,OK
2025-01-01 10:00:46,192.168.1.60,8.8.8.8,HTTPS,982,277,OK
2025-01-01 10:00:47,192.168.1.198,1.1.1.1,HTTPS,288,1026,DELAY
2025-01-01 10:00:48,192.168.1.86,8.8.4.4,HTTPS,465,152,OK
